id,game,gpu,cpu,resolution,refresh_hz,avg_fps,min1_fps,ram_gb,source_session_id,source_url,quality_flags,evidence_tier,settings_complete,publication_status
1,League of Legends,RTX 3090 Ti,i9-12900KS,2560x1440,240,260,237,64,6a8c45480b4f50d85e6d83af,https://howmanyfps.com/benchmarks/league-of-legends/6a8c45480b4f50d85e6d83af,,third_party_community_measured,False,research_sample_only
2,Counter-Strike 2,RTX 5070,Ryzen 7 9700X,1280x960,144,373,255,32,6a8bda60b0251bb8fcee8dba,https://howmanyfps.com/benchmarks/counter-strike-2/6a8bda60b0251bb8fcee8dba,,third_party_community_measured,False,research_sample_only
3,Dota 2,RTX 3070,Ryzen 7 9800X3D,1920x1080,180,250,232,32,6a8b50e2497df720e3ada316,https://howmanyfps.com/benchmarks/dota-2/6a8b50e2497df720e3ada316,,third_party_community_measured,False,research_sample_only
4,Valorant,RTX 2050,i5-12450H,1920x1080,144,115,68,16,6a8b2dfb497df720e3a63af1,https://howmanyfps.com/benchmarks/valorant/6a8b2dfb497df720e3a63af1,,third_party_community_measured,False,research_sample_only
5,League of Legends,AMD Radeon(TM) Graphics,Ryzen 5 5500U with Radeon Graphics,1920x1080,60,74,14,8,6a8ae05a497df720e3961bac,https://howmanyfps.com/benchmarks/league-of-legends/6a8ae05a497df720e3961bac,,third_party_community_measured,False,research_sample_only
6,Fortnite,RTX 5060 Ti,Core Ultra 7 265,1280x720,180,293,174,16,6a8ad7f1497df720e39422e4,https://howmanyfps.com/benchmarks/fortnite/6a8ad7f1497df720e39422e4,,third_party_community_measured,False,research_sample_only
7,Call of Duty: Warzone 2.0,RTX 5070 Ti,Ryzen 9 9900X,,165,219,176,32,6a8a8e62b0251bb8fcb2e40a,https://howmanyfps.com/benchmarks/call-of-duty-warzone-20/6a8a8e62b0251bb8fcb2e40a,,third_party_community_measured,False,research_sample_only
8,Call of Duty: Warzone 2.0,RTX 5070 Ti,Ryzen 9 9900X,,165,661,216,32,6a8a8901b0251bb8fcb241d5,https://howmanyfps.com/benchmarks/call-of-duty-warzone-20/6a8a8901b0251bb8fcb241d5,suspicious_fps_outlier|resolution_auto,third_party_community_measured,False,research_sample_only
9,Rocket League,GTX 1070,i7-4770,3840x2160,60,65,51,18,6a8a50a6f534d8b8498797c7,https://howmanyfps.com/benchmarks/rocket-league/6a8a50a6f534d8b8498797c7,,third_party_community_measured,False,research_sample_only
10,Valorant,RTX 4060 Laptop GPU,Ryzen 5 7535HS with Radeon Graphics,1280x960,144,143,109,32,6a89cd82b20294401c29fc0d,https://howmanyfps.com/benchmarks/valorant/6a89cd82b20294401c29fc0d,,third_party_community_measured,False,research_sample_only
11,Fortnite,RTX 3070,Ryzen 5 5500,1920x1080,300,146,58,16,6a89b927f534d8b84970600e,https://howmanyfps.com/benchmarks/fortnite/6a89b927f534d8b84970600e,,third_party_community_measured,False,research_sample_only
12,Fortnite,RX 9060 XT,Intel Xeon E5-1650 v3,2560x1440,60,94,70,32,6a8996e2b0251bb8fc8df22a,https://howmanyfps.com/benchmarks/fortnite/6a8996e2b0251bb8fc8df22a,source_listing_reported_0_percent_gpu_usage,third_party_community_measured,False,research_sample_only
13,Roblox,Intel(R) UHD Graphics,i3-1115G4,1366x768,60,121,27,8,6a88cc1c497df720e343c5c3,https://howmanyfps.com/benchmarks/roblox/6a88cc1c497df720e343c5c3,,third_party_community_measured,False,research_sample_only
14,Dota 2,RTX 3070,Ryzen 7 9800X3D,1920x1080,180,247,220,32,6a875ec4b0251bb8fc31dac0,https://howmanyfps.com/benchmarks/dota-2/6a875ec4b0251bb8fc31dac0,,third_party_community_measured,False,research_sample_only
15,Hogwarts Legacy,RX 5700 XT,Ryzen 5 7500X3D,2560x1440,144,149,86,16,6a87323fb0251bb8fc2901d5,https://howmanyfps.com/benchmarks/hogwarts-legacy/6a87323fb0251bb8fc2901d5,,third_party_community_measured,False,research_sample_only
16,Hogwarts Legacy,RX 5700 XT,Ryzen 5 7500X3D,2560x1440,144,130,89,16,6a870d7ec036f6a580185f62,https://howmanyfps.com/benchmarks/hogwarts-legacy/6a870d7ec036f6a580185f62,,third_party_community_measured,False,research_sample_only
17,Valorant,RX 7600,Ryzen 5 5500,2560x1440,200,205,86,16,6a867faa0b031b86f21630ec,https://howmanyfps.com/benchmarks/valorant/6a867faa0b031b86f21630ec,,third_party_community_measured,False,research_sample_only
18,Hogwarts Legacy,RTX 3080,i7-11700,3440x1440,180,168,89,48,6a8641d30b031b86f20d1c71,https://howmanyfps.com/benchmarks/hogwarts-legacy/6a8641d30b031b86f20d1c71,,third_party_community_measured,False,research_sample_only
19,Counter-Strike 2,RTX 3080,Ryzen 9 5900X,2560x1440,165,359,291,32,6a84efb60b031b86f2d84151,https://howmanyfps.com/benchmarks/counter-strike-2/6a84efb60b031b86f2d84151,,third_party_community_measured,False,research_sample_only
20,Counter-Strike 2,RTX 2060,Ryzen 5 4600H with Radeon Graphics,1350x1080,144,119,72,16,6a84ad952971f0b67b11fc41,https://howmanyfps.com/benchmarks/counter-strike-2/6a84ad952971f0b67b11fc41,,third_party_community_measured,False,research_sample_only
21,Counter-Strike 2,RTX 3050,Intel Xeon E5-2678 v3,1440x1080,180,214,149,32,6a8404ff0b031b86f2aa6791,https://howmanyfps.com/benchmarks/counter-strike-2/6a8404ff0b031b86f2aa6791,,third_party_community_measured,False,research_sample_only
22,Counter-Strike 2,RX 9070 XT,Ryzen 7 7800X3D,2560x1440,200,262,195,16,6a8374f30b031b86f2954c4e,https://howmanyfps.com/benchmarks/counter-strike-2/6a8374f30b031b86f2954c4e,,third_party_community_measured,False,research_sample_only
23,Counter-Strike 2,RTX 3050,Intel Xeon E5-2678 v3,1440x1080,180,198,126,32,6a8352c35d5299056abcf037,https://howmanyfps.com/benchmarks/counter-strike-2/6a8352c35d5299056abcf037,,third_party_community_measured,False,research_sample_only
24,Counter-Strike 2,RTX 4060,Ryzen 5 5600,1280x1024,240,273,184,16,6a81ef9c2b64de3f99c3b97f,https://howmanyfps.com/benchmarks/counter-strike-2/6a81ef9c2b64de3f99c3b97f,,third_party_community_measured,False,research_sample_only
25,Counter-Strike 2,RTX 4050 Laptop GPU,i7-13620H,1280x960,165,244,152,16,6a808ddb8108ffd528ff8c51,https://howmanyfps.com/benchmarks/counter-strike-2/6a808ddb8108ffd528ff8c51,,third_party_community_measured,False,research_sample_only
26,Counter-Strike 2,RTX 5060,Ryzen 5 5500,1920x1080,200,162,123,32,6a7f6ad17d6223183046ac22,https://howmanyfps.com/benchmarks/counter-strike-2/6a7f6ad17d6223183046ac22,,third_party_community_measured,False,research_sample_only
27,Counter-Strike 2,RTX 3070,Ryzen 7 3800X,,165,148,97,16,6a7e8781085465f9cb26e65d,https://howmanyfps.com/benchmarks/counter-strike-2/6a7e8781085465f9cb26e65d,missing_resolution_in_public_listing,third_party_community_measured,False,research_sample_only
28,Counter-Strike 2,RTX 4070 Ti,i5-14600KF,2560x1440,170,265,145,32,6a7d4117700deef1eb7398bd,https://howmanyfps.com/benchmarks/counter-strike-2/6a7d4117700deef1eb7398bd,,third_party_community_measured,False,research_sample_only
29,Counter-Strike 2,RTX 4080,i5-12400F,2560x1440,144,238,178,32,6a7c5e0345441b58f69139ab,https://howmanyfps.com/benchmarks/counter-strike-2/6a7c5e0345441b58f69139ab,,third_party_community_measured,False,research_sample_only
